OBJECTID,PARCEL_I,STNUMBER,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_STNAME,CITY,ZIPCODE,ADDRESS,STATUS,SHAPEAREA,SHAPELEN
345944,1029867,2365,,ADAMS,ST,,ADAMS ST,INDIANAPOLIS,46218,2365 ADAMS ST,Abandoned,12801.8636218743,480.073502136039
346056,1010458,2755,N,KEYSTONE,AVE,,KEYSTONE AVE,INDIANAPOLIS,46218,2755 N KEYSTONE AVE,Abandoned,11133.1727609259,434.607365476568
346078,1088338,1929,,HOUSTON,ST,,HOUSTON ST,INDIANAPOLIS,46218,1929 HOUSTON ST,Abandoned,5400.13062467896,350.010293221351
346248,1024949,40,,EASTERN,AVE,,EASTERN AVE,INDIANAPOLIS,46201,40 EASTERN AVE,Abandoned,4999.76882219931,329.991104924734
346265,1014955,1031,N,TACOMA,AVE,,TACOMA AVE,INDIANAPOLIS,46201,1031 N TACOMA AVE,Abandoned,6405.33840664653,436.020669862666
346306,1060496,202,,JEFFERSON,AVE,,JEFFERSON AVE,INDIANAPOLIS,46201,56 JEFFERSON AVE,Abandoned,5200.17281164053,340.010030758832
346324,1088337,1925,,HOUSTON,ST,,HOUSTON ST,INDIANAPOLIS,46218,1925 HOUSTON ST,Vacant,5399.93559169056,350.000481498955
346330,1014317,1028,N,TACOMA,AVE,,TACOMA AVE,INDIANAPOLIS,46201,1028 N TACOMA AVE,Abandoned,8052.39763351281,454.000359360488
346331,1042683,645,N,BEVILLE,AVE,,BEVILLE AVE,INDIANAPOLIS,46201,645 N BEVILLE AVE,Abandoned,5252.63813530689,342.639266814048
346395,1036287,26,E,ADLER,ST,,ADLER ST,INDIANAPOLIS,46225,26 E ADLER ST,Abandoned,2800.08961304742,256.013334199969
346463,1063757,2803,,SHELBY,ST,,SHELBY ST,INDIANAPOLIS,46203,2803 SHELBY ST,Abandoned,4510.9876735153,339.003106203497
346489,1075682,41,N,TRAUB,AVE,,TRAUB AVE,INDIANAPOLIS,46222,41 N TRAUB AVE,Abandoned,5999.70421619431,380.030262970295
346507,1070245,1215,,MC DOUGAL,ST,,MC DOUGAL ST,INDIANAPOLIS,46203,1215 MC DOUGAL ST,Abandoned,5985.58730872853,356.014297223995
346826,1029879,140,W,35TH,ST,,35TH ST,INDIANAPOLIS,46208,140 W 35TH ST,Abandoned,2639.78365946206,211.989208511574
346839,1074062,1102,E,30TH,ST,,30TH ST,INDIANAPOLIS,46205,1102 E 30TH ST,Abandoned,51118.1630866118,956.008188197175
346873,1050001,909,N,KEYSTONE,AVE,,KEYSTONE AVE,INDIANAPOLIS,46201,909 N KEYSTONE AVE,Abandoned,7008.9675109623,411.999886801388
347032,1048514,2033,S,PENNSYLVANIA,ST,,PENNSYLVANIA ST,INDIANAPOLIS,46225,2033 S PENNSYLVANIA ST,Abandoned,4199.95681535603,310.0134226992
347059,1018934,2141,S,DELAWARE,ST,,DELAWARE ST,INDIANAPOLIS,46225,2141 S DELAWARE ST,Abandoned,6165.69948931942,364.027857272565
347108,1103899,1102,,TECUMSEH,ST,,TECUMSEH ST,INDIANAPOLIS,46201,1102 TECUMSEH ST,Abandoned,3119.97885413051,236.000423152423
347117,1003678,652,W,30TH,ST,,30TH ST,INDIANAPOLIS,46208,652 W 30TH ST,Abandoned,9049.42582985694,492.199965339247
347308,1059945,1315,W,28TH,ST,,28TH ST,INDIANAPOLIS,46208,1315 W 28TH ST,Abandoned,3770.49507356248,303.538711430861
347319,1044079,2162,S,PENNSYLVANIA,ST,,PENNSYLVANIA ST,INDIANAPOLIS,46225,2162 S PENNSYLVANIA ST,Abandoned,4141.39383192494,329.215282001851
347321,1041518,2937,,DRAPER,ST,,DRAPER ST,INDIANAPOLIS,46203,2937 DRAPER ST,Abandoned,5840.10923800643,371.991161175333
347333,1038537,614,,EUGENE,ST,,EUGENE ST,INDIANAPOLIS,46208,614 EUGENE ST,Vacant,5129.96910968016,336.499360423075
347336,1086104,1847,E,MINNESOTA,ST,,MINNESOTA ST,INDIANAPOLIS,46203,1847 E MINNESOTA ST,Abandoned,3400.110609069,250.006069390873
347415,1075459,31,E,RAYMOND,ST,,RAYMOND ST,INDIANAPOLIS,46225,31 E RAYMOND ST,Abandoned,4618.97091240602,332.599281715216
347426,1058105,650,,EUGENE,ST,,EUGENE ST,INDIANAPOLIS,46208,650 EUGENE ST,Vacant,5129.98213245272,336.499687494922
347453,1088107,2719,,INDIANAPOLIS,AVE,,INDIANAPOLIS AVE,INDIANAPOLIS,46208,2719 INDIANAPOLIS AVE,Abandoned,5413.43867638051,350.671137633472
347501,1017866,701,W,30TH,ST,,30TH ST,INDIANAPOLIS,46208,701 W 30TH ST,Abandoned,5129.98024048775,336.499628995749
347506,1075327,317,W,30TH,ST,,30TH ST,INDIANAPOLIS,46208,317 W 30TH ST,Vacant,8999.96533690834,460.002375711523
347527,1034811,1132,N,TACOMA,AVE,,TACOMA AVE,INDIANAPOLIS,46201,1132 N TACOMA AVE,Abandoned,6953.89857047713,441.999790166333
347544,1059170,610,W,30TH,ST,,30TH ST,INDIANAPOLIS,46208,610 W 30TH ST,Abandoned,5791.75481595679,369.590099631102
347565,1065041,37,E,RAYMOND,ST,,RAYMOND ST,INDIANAPOLIS,46225,37 E RAYMOND ST,Abandoned,4617.71786251282,332.508186634877
347576,1076128,608,,EUGENE,ST,,EUGENE ST,INDIANAPOLIS,46208,608 EUGENE ST,Abandoned,5129.97556870022,336.499358427943
347580,1024207,615,W,30TH,ST,,30TH ST,INDIANAPOLIS,46208,615 W 30TH ST,Abandoned,5127.18501213725,336.359865495936
347657,1087839,1421,,DELOSS,ST,,DELOSS ST,INDIANAPOLIS,46201,1421 DELOSS ST,Abandoned,3599.58955621622,299.982055723641
347695,1002623,21,W,PLEASANT RUN PKWY,SDR,,PLEASANT RUN PKWY SDR,INDIANAPOLIS,46225,21 W PLEASANT RUN PKWY SDR,Abandoned,5280.11754451984,343.993860684073
347712,1018402,139,,HOEFGEN,ST,,HOEFGEN ST,INDIANAPOLIS,46225,139 HOEFGEN ST,Abandoned,3403.85726545068,240.003416415954
347737,1003679,702,W,30TH,ST,,30TH ST,INDIANAPOLIS,46208,702 W 30TH ST,Abandoned,9049.76054856598,492.199636325522
347816,1054613,943,,CHURCH,ST,,CHURCH ST,INDIANAPOLIS,46225,943 CHURCH ST,Abandoned,2817.68772555599,252.876173591483
347818,1049282,2105,,SINGLETON,ST,,SINGLETON ST,INDIANAPOLIS,46203,2105 SINGLETON ST,Abandoned,3421.33374808792,257.187877075699
347946,1026791,1609,E,OHIO,ST,,OHIO ST,INDIANAPOLIS,46201,1609 E OHIO ST,Vacant,3599.90493720698,272.002297454429
347997,1072682,3409,N,KENWOOD,AVE,,KENWOOD AVE,INDIANAPOLIS,46208,3409 N KENWOOD AVE,Abandoned,5404.0501887044,345.879116864269
348051,1051079,2518,S,DELAWARE,ST,,DELAWARE ST,INDIANAPOLIS,46225,2518 S DELAWARE ST,Abandoned,4940.62376552612,336.025646282577
348099,1031098,1357,W,28TH,ST,,28TH ST,INDIANAPOLIS,46208,1357 W 28TH ST,Abandoned,3750.07402963035,310.00250495028
348242,1026724,628,,UDELL,ST,,UDELL ST,INDIANAPOLIS,46208,628 UDELL ST,Vacant,5100.57100650426,335.029189637733
348295,1017300,2917,,MCPHERSON,ST,,MCPHERSON ST,INDIANAPOLIS,46205,2917 MCPHERSON ST,Vacant,4689.60863125878,314.483499375293
348326,1020600,3453,N,KENWOOD,AVE,,KENWOOD AVE,INDIANAPOLIS,46208,3453 N KENWOOD AVE,Abandoned,5436.98166992638,347.218965002906
348455,1069578,605,W,29TH,ST,,29TH ST,INDIANAPOLIS,46208,605 W 29TH ST,Vacant,5099.98231154623,334.999690495932
