ZIPCODE,ADDRESS,STATUS
46218,2365 ADAMS ST,Abandoned
46218,2755 N KEYSTONE AVE,Abandoned
46218,1929 HOUSTON ST,Abandoned
46201,40 EASTERN AVE,Abandoned
46201,1031 N TACOMA AVE,Abandoned
46201,56 JEFFERSON AVE,Abandoned
46218,1925 HOUSTON ST,Vacant
46201,1028 N TACOMA AVE,Abandoned
46201,645 N BEVILLE AVE,Abandoned
46225,26 E ADLER ST,Abandoned
46203,2803 SHELBY ST,Abandoned
46222,41 N TRAUB AVE,Abandoned
46203,1215 MC DOUGAL ST,Abandoned
46208,140 W 35TH ST,Abandoned
46205,1102 E 30TH ST,Abandoned
46201,909 N KEYSTONE AVE,Abandoned
46225,2033 S PENNSYLVANIA ST,Abandoned
46225,2141 S DELAWARE ST,Abandoned
46201,1102 TECUMSEH ST,Abandoned
46208,652 W 30TH ST,Abandoned
46208,1315 W 28TH ST,Abandoned
46225,2162 S PENNSYLVANIA ST,Abandoned
46203,2937 DRAPER ST,Abandoned
46208,614 EUGENE ST,Vacant
46203,1847 E MINNESOTA ST,Abandoned
46225,31 E RAYMOND ST,Abandoned
46208,650 EUGENE ST,Vacant
46208,2719 INDIANAPOLIS AVE,Abandoned
46208,701 W 30TH ST,Abandoned
46208,317 W 30TH ST,Vacant
46201,1132 N TACOMA AVE,Abandoned
46208,610 W 30TH ST,Abandoned
46225,37 E RAYMOND ST,Abandoned
46208,608 EUGENE ST,Abandoned
46208,615 W 30TH ST,Abandoned
46201,1421 DELOSS ST,Abandoned
46225,21 W PLEASANT RUN PKWY SDR,Abandoned
46225,139 HOEFGEN ST,Abandoned
46208,702 W 30TH ST,Abandoned
46225,943 CHURCH ST,Abandoned
46203,2105 SINGLETON ST,Abandoned
46201,1609 E OHIO ST,Vacant
46208,3409 N KENWOOD AVE,Abandoned
46225,2518 S DELAWARE ST,Abandoned
46208,1357 W 28TH ST,Abandoned
46208,628 UDELL ST,Vacant
46205,2917 MCPHERSON ST,Vacant
46208,3453 N KENWOOD AVE,Abandoned
46208,605 W 29TH ST,Vacant
46203,2125 SINGLETON ST,Abandoned
46203,602 COTTAGE AVE,Vacant
46208,2422 INDIANAPOLIS AVE,Vacant
46208,2724 INDIANAPOLIS AVE,Abandoned
46225,1141 S CAPITOL AVE,Vacant
46203,2840 DIETZ ST,Vacant
46201,601 N BANCROFT ST,Abandoned
46208,2827 N KENWOOD AVE,Abandoned
46208,642 EUGENE ST,Vacant
46208,3605 BOULEVARD PL,Vacant
46208,3532 SALEM ST,Vacant
46225,402 E RAYMOND ST,Abandoned
46201,94 N DEARBORN ST,Vacant
46208,2406 N KENWOOD AVE,Abandoned
46201,3707 E NEW YORK ST,Vacant
46208,445 W 26TH ST,Abandoned
46208,611 UDELL ST,Abandoned
46208,3629 GRACELAND AVE,Vacant
46208,640 UDELL ST,Abandoned
46208,125 W 29TH ST,Abandoned
46208,627 UDELL ST,Abandoned
46208,3434 N KENWOOD AVE,Abandoned
46208,622 UDELL ST,Abandoned
46201,1135 N KEYSTONE AVE,Abandoned
46203,1129 HARLAN ST,Vacant
46203,1227 HARLAN ST,Vacant
46222,241 N REISNER ST,Vacant
46221,1321 BLAINE AVE,Vacant
46222,17 N TRAUB AVE,Abandoned
46203,1206 CHURCHMAN AVE,Abandoned
46222,1714 W MARKET ST,Abandoned
46201,338 N HAMILTON AVE,Abandoned
46201,401 N HAMILTON AVE,Abandoned
46201,422 JEFFERSON AVE,Abandoned
46201,323 JEFFERSON AVE,Abandoned
46201,434 JEFFERSON AVE,Abandoned
46225,233 BAKEMEYER ST,Vacant
46222,332 KOEHNE ST,Abandoned
46222,1521 W VERMONT ST,Vacant
46208,1256 W 33RD ST,Vacant
46205,3014 BROADWAY ST,Vacant
46208,1260 W 33RD ST,Abandoned
46202,325 E 10TH ST,Abandoned
46225,1325 CHARLES ST,Abandoned
46201,26 S EUCLID AVE,Abandoned
46201,17 S EUCLID AVE,Abandoned
46201,31 S EUCLID AVE,Abandoned
46203,2348 ST PAUL ST,Abandoned
46201,52 S TUXEDO ST,Vacant
46201,33 S TUXEDO ST,Abandoned
46201,36 S DEARBORN ST,Abandoned
46203,3829 SPANN AVE,Vacant
46203,2009 DRAPER ST,Abandoned
46203,2015 BOYD AVE,Abandoned
46201,30 BANKERS LN,Abandoned
46225,2154 WEBB ST,Abandoned
46203,1502 CRUFT ST,Abandoned
46203,1133 S KEALING AVE,Vacant
46218,3610 N RILEY AVE,Abandoned
46218,2656 BROOKSIDE AVE,Abandoned
46201,330 N RANDOLPH ST,Vacant
46202,2111 COLUMBIA AVE,Abandoned
46205,921 E 38TH ST,Vacant
46203,3819 FLETCHER AVE,Vacant
46203,3820 FLETCHER AVE,Vacant
46218,3654 KINNEAR AVE,Abandoned
46218,3644 KINNEAR AVE,Abandoned
46203,1122 FINLEY AVE,Abandoned
46203,1202 FINLEY AVE,Abandoned
46208,1418 W 32ND ST,Vacant
46208,3140 N HARDING ST,Abandoned
46208,1414 W 32ND ST,Vacant
46208,1423 W 32ND ST,Abandoned
46208,1450 CONGRESS AVE,Abandoned
46208,1430 CONGRESS AVE,Abandoned
